feature,r2
mc-chi-0-all,0.11904557754709143
D_mc-chi-1-all,0.0839522608813184
D_mc-chi-3-all,0.06273832749690801
D_mc-S-1-all,0.05858982376424072
mc-S-0-all,0.05308063176907179
mc-chi-2-all,0.05187888661832985
D_lc-S-2-all,0.04697554048154722
mc-S-1-all,0.046036465234794946
D_mc-T-1-all,0.04048549583986226
D_lc-Z-2-all,0.040205453839675616
mc-I-1-all,0.039951620352921616
mc-T-0-all,0.03639788311433441
CalcMORSE-208_1,0.03433456806420022
D_mc-Z-1-all,0.03415109358725067
node11252,0.03389953950436185
node11250,0.033740043458019064
CalcMORSE-195_1,0.0336040613141813
D_lc-chi-2-all,0.03359199632464851
CalcMORSE-209_1,0.0332642894782266
node250,0.03234166314660814
node21250,0.03226328061752834
node21252,0.032153978840185636
node150,0.031967320848329865
node1100,0.03167227757470072
node253,0.03151643390123111
node1103,0.03150444137649489
node153,0.031201207702527427
lc-chi-0-all,0.031053036805094438
node2100,0.030560499117795577
node2103,0.03032742619068832
SMR_VSA_-2_1,0.02958864470587237
CalcMORSE-215_1,0.029434633201205936
D_lc-T-3-all,0.029327525946126483
CalcMORSE-195_0,0.029114824076689177
mc-S-3-all,0.029081860756638173
mc-T-3-all,0.02881587658402054
node252,0.02855747631622141
node152,0.028411531145421498
CalcMORSE-209_0,0.028048169047054868
CalcMORSE-208_0,0.027461387205753366
CalcMORSE-219_1,0.027455420741215146
node1150,0.026880694408826938
node1153,0.026869911688225508
SMR_VSA_-2_0,0.02671554362146031
CalcMORSE-223_1,0.0266950671779052
mc-T-1-all,0.026628645085474537
metal_3p_energy,0.026453155628165054
metal_3d_energy,0.026429158060909237
CalcMORSE-201_0,0.02636371659124997
MQNs_-8_1,0.026085196804518724
mc-Z-3-all,0.02572519203680099
CalcMORSE-123_1,0.025574966445785843
PEOE_VSA_-1_1,0.02552242807174461
CalcMORSE-201_1,0.025447240989697785
metal_3s_energy,0.025298157297853476
metal_4s_energy,0.025176212884510128
CalcNumAromaticHeterocycles_1,0.024859677093907177
mc-Z-0-all,0.02484350888508131
CalcMORSE-214_1,0.02476971102878949
CalcMORSE-99_1,0.02473744654148136
D_lc-S-3-all,0.02445285757339996
CalcMORSE-187_1,0.024426139756180628
PEOE_VSA_-7_1,0.02440903140974708
metal_4p_energy,0.02393646778896661
CalcNumAromaticCarbocycles_1,0.023881127541865103
CalcMORSE-163_1,0.023696754952145297
metal_2p_energy,0.023626192055371212
metal_2s_energy,0.022852757751658844
CalcWHIM-52_0,0.022818469916719104
CalcMORSE-27_1,0.022742499925603146
CalcMORSE-99_0,0.02268888582499707
CalcMORSE-59_1,0.022622495657190177
node1102,0.02259867784986338
CalcMORSE-163_0,0.02255958636327511
CalcMORSE-223_0,0.022467994908392182
CalcNumHeterocycles_1,0.02244176123205018
CalcMORSE-219_0,0.02225639124344411
node2102,0.022248674337313926
lc-I-1-all,0.02192628982365444
node11251,0.021802568633178875
node2153,0.02170417314839129
metal_1s_energy,0.021615698254110215
CalcMORSE-123_0,0.021427285537099
node2150,0.021222309603777433
lc-I-2-all,0.021041082084784245
node21251,0.021019510022118815
node1200,0.020744610506016246
lc-chi-1-all,0.0207287329669407
PEOE_VSA_-1_0,0.02068754744968225
CalcWHIM-52_1,0.020673685958914074
node1203,0.02039831728606236
CalcMORSE-187_0,0.020315125175649724
CalcMORSE-59_0,0.020313062299301847
CalcMORSE-3_1,0.020307736158045552
CalcRDF-183_1,0.0201590467536932
GetUSRCAT-36_1,0.02007048369546582
GetUSRCAT-23_1,0.02002751859636785
MQNs_-8_0,0.019690398144580918
lc-T-1-all,0.01943106074300431
CalcMORSE-215_0,0.01940717517733895
GetUSRCAT-1_1,0.019362878245936195
GetUSR-1_1,0.019362878245936195
CalcMORSE-27_0,0.019311306746192858
metal_4d_energy,0.019088553210632263
CalcMORSE-3_0,0.01896579500033287
BCUT2D-4_1,0.018887633416735893
CalcMORSE-91_1,0.01876383844172845
GetUSRCAT-39_1,0.018691796265834105
GetUSRCAT-42_1,0.01862114686361008
D_lc-alpha-3-all,0.01854188561640256
lc-T-2-all,0.01852021565347222
linker21252,0.018510531504918867
D_lc-alpha-2-all,0.018329270733922275
lc-S-1-all,0.018326141840754376
GetUSRCAT-5_1,0.01827433341533335
GetUSR-5_1,0.01827433341533335
CalcMORSE-214_0,0.017867686028483244
linker21250,0.017809813881235197
CalcRadiusOfGyration_1,0.017782533641369697
CalcMORSE-159_1,0.01777083797246865
CalcMORSE-35_0,0.017680018063638874
CalcMORSE-95_1,0.01766662307879114
BCUT2D-4_0,0.017604331246722445
CalcMORSE-35_1,0.017428621295753895
CalcWHIM-30_0,0.017332561462042415
CalcMORSE-31_1,0.01729290047514087
CalcWHIM-30_1,0.01715139640989462
linker11252,0.017142054817836788
D_mc-T-3-all,0.016984157547436655
GetUSR-4_1,0.01695504653462835
GetUSRCAT-4_1,0.01695504653462835
D_mc-chi-2-all,0.01677855643464401
CalcMORSE-127_1,0.016762264531940733
node11253,0.016759369942982768
CalcMORSE-91_0,0.016681829583026792
node2101,0.016675504354715102
CalcMORSE-154_1,0.016559547732826422
metal_5s_energy,0.01655443767142996
CalcMORSE-183_1,0.016490540046597394
node1101,0.016464671610316055
GetUSRCAT-36_0,0.016413698016727454
mc-T-2-all,0.01632286477831357
GetUSRCAT-6_1,0.016279424313079834
GetUSR-6_1,0.016279424313079834
node21253,0.01625522584020798
CalcMORSE-203_1,0.016061626425389563
CalcMORSE-119_1,0.015943698965356738
GetUSRCAT-45_1,0.015938759563763946
lc-T-0-all,0.01569800199784435
CalcMORSE-63_1,0.015628752346656415
CalcMORSE-142_1,0.015603823961824595
CalcMORSE-90_1,0.015584723137037605
PEOE_VSA_-7_0,0.015515650695231057
node154,0.015509882758955571
GetUSRCAT-9_1,0.015326688820719523
GetUSR-9_1,0.015326688820719523
CalcMORSE-154_0,0.015210513455798122
CalcMORSE-141_0,0.015173603695790515
CalcRDF-183_0,0.015067219628172968
node254,0.01500566767700999
GetUSRCAT-39_0,0.01494648874033632
GetUSRCAT-7_1,0.014903830149889266
GetUSR-7_1,0.014903830149889266
CalcMORSE-67_1,0.014881399525960353
node1503,0.014868459587201753
CalcNumHeterocycles_0,0.014837441112854823
CalcMORSE-77_0,0.014826794410460165
CalcMORSE-23_1,0.014815312309002517
CalcMORSE-191_1,0.01478596041057682
CalcMORSE-206_0,0.014686633727159329
CalcMORSE-90_0,0.014568938644513217
CalcMORSE-31_0,0.01453919633464618
CalcMORSE-95_0,0.01444626963085093
CalcMORSE-127_0,0.01437241088913837
CalcMORSE-132_1,0.014274133414445644
CalcMORSE-202_1,0.01423138224829348
GetUSRCAT-3_1,0.014125000141826119
GetUSR-3_1,0.014125000141826119
node2453,0.01411559601953483
node2503,0.014073002431206731
CalcMORSE-159_0,0.014070366505731128
node1453,0.01405013652312174
CalcMORSE-206_1,0.014039925281929114
CalcMORSE-141_1,0.014009364784817648
CalcMORSE-133_1,0.01399307657995879
CalcMORSE-213_1,0.01388150549238822
CalcMORSE-67_0,0.013862313724752011
node1250,0.013837056502028523
CalcMORSE-203_0,0.0137944969276368
GetUSR-10_1,0.013787930100418863
GetUSRCAT-10_1,0.013787930100418863
GetUSRCAT-43_1,0.013772940233865525
CalcWHIM-66_1,0.013728304035132383
CalcMORSE-77_1,0.01369330810753033
mc-Z-1-all,0.013687418283635344
CalcMORSE-75_1,0.01364950839488086
node2203,0.013649128261308405
CalcMORSE-78_1,0.013629399491971058
node2450,0.01361014063276552
GetUSR-0_1,0.013526737264247364
GetUSRCAT-0_1,0.013526737264247364
GetUSRCAT-5_0,0.013515801252823966
GetUSR-5_0,0.013515801252823966
node1450,0.013485834255144572
CalcMORSE-202_0,0.01345561097545494
linker21251,0.013391771062227668
CalcMORSE-68_1,0.013357555054531919
node1104,0.013330730507039222
CalcMORSE-26_1,0.01332691011967193
node2250,0.013311441335539673
node1253,0.013296536498911883
CalcMORSE-46_1,0.013152192536029342
node2200,0.01315170619009494
CalcMORSE-139_1,0.013084896396891522
linker11250,0.013075502077909503
CalcWHIM-33_1,0.013068873722736497
CalcMORSE-217_1,0.013050840591466899
linker11251,0.01303144841034793
CalcWHIM-11_1,0.013030237791315867
CalcMORSE-13_0,0.01297328683867556
CalcMORSE-63_0,0.0129702015284491
CalcMORSE-26_0,0.012899213997074463
CalcMORSE-142_0,0.012891830753089478
node2253,0.012885851872213385
CalcMORSE-191_0,0.012875423812511418
CalcMORSE-36_1,0.012851027802915133
node21848,0.012792863216996006
CalcMORSE-55_1,0.01276848444954112
node1500,0.012728678991160959
CalcMORSE-11_1,0.012677574627324068
linker11101,0.012658135170637654
GetUSRCAT-1_0,0.012536140877436909
GetUSR-1_0,0.012536140877436909
CalcMORSE-155_1,0.012493097672873144
node2104,0.012453609796519738
CalcMORSE-145_1,0.012430316495885111
CalcWHIM-83_1,0.012386087125053118
CalcRadiusOfGyration_0,0.012374402687046409
CalcMORSE-107_1,0.012330765797990582
GetUSRCAT-2_1,0.01228162110655382
GetUSR-2_1,0.01228162110655382
CalcMORSE-155_0,0.012242662343450686
GetUSRCAT-20_1,0.012144549017813835
GetUSRCAT-21_1,0.012136590612633374
CalcNumAromaticHeterocycles_0,0.01212495873942408
oxygen_count,0.012074136598207325
GetUSRCAT-43_0,0.01206858745560185
node20,0.012066167698834698
node10,0.01204346709718658
node1152,0.01204089814920866
CalcMORSE-14_1,0.012031070010242463
D_mc-T-2-all,0.012020624957951743
node2500,0.012019392360274597
CalcMORSE-147_1,0.01199957776975817
D_mc-Z-3-all,0.011967218919576326
CalcMORSE-87_1,0.011886340523932708
CalcMORSE-13_1,0.011876884632555876
CalcWHIM-55_1,0.011863183946554915
CalcMORSE-4_1,0.011779512640277962
GetUSR-2_0,0.011720850609728892
GetUSRCAT-2_0,0.011720850609728892
node23,0.011708915450071184
D_lc-T-2-all,0.011697162603611205
node13,0.011650307848783046
CalcMORSE-109_0,0.011625015446450265
CalcMORSE-121_1,0.011624195460299443
MQNs_-19_1,0.011615345760584336
BCUT2D-7_1,0.011586989817467416
CalcMORSE-185_1,0.011573790853615743
GetUSRCAT-42_0,0.011564855021084116
CalcMORSE-75_0,0.011533008096097754
lc-alpha-1-all,0.011526287188111634
metal_5p_energy,0.011511128559619705
CalcMORSE-78_0,0.011460942264420305
CalcWHIM-80_1,0.011458419241384701
CalcMORSE-139_0,0.01138238359195426
node11848,0.011357940561434203
CalcWHIM-78_1,0.01134195695247302
CalcWHIM-0_1,0.011337820540915063
CalcWHIM-8_1,0.011295883398259833
CalcFractionCSP3_0,0.011279481382317023
BCUT2D-2_1,0.011264992996486506
CalcMORSE-69_1,0.0112430347724299
CalcCrippenDescriptors-0_1,0.01124209268848249
GetUSRCAT-19_1,0.011228377889326301
CalcMORSE-41_1,0.011218385470938052
CalcMORSE-129_1,0.011210790439594819
MQNs_-26_0,0.011205182675738768
GetUSRCAT-22_1,0.011171005367805688
CalcMORSE-81_1,0.011092748146941918
CalcMORSE-186_0,0.011058394731869254
CalcMORSE-33_1,0.011046805078484634
CalcMORSE-147_0,0.011041960074509782
CalcMORSE-186_1,0.011032204306851295
CalcMORSE-100_1,0.010999550719016458
CalcMORSE-193_1,0.010969769381552426
SlogP_VSA_-4_1,0.010933751567102133
CalcMORSE-132_0,0.010914504158934649
CalcMORSE-109_1,0.01089222542667655
linker21201,0.010883571602134528
CalcMORSE-46_0,0.010825291661511525
CalcMORSE-122_0,0.010807183960931412
CalcMORSE-205_0,0.010725643973664366
CalcMORSE-174_1,0.010718300528975095
CalcMORSE-171_1,0.010715963154651778
GetUSR-4_0,0.010673552037240191
GetUSRCAT-4_0,0.010673552037240191
CalcMORSE-122_1,0.010664297706713401
mc-S-2-all,0.010644077882189226
CalcWHIM-82_1,0.010635094140265856
GetUSR-6_0,0.01062032814037228
GetUSRCAT-6_0,0.01062032814037228
GetUSRCAT-30_1,0.01061153999194911
CalcMORSE-11_0,0.010609648562047838
CalcMORSE-110_1,0.010587240371164132
CalcMORSE-210_1,0.010560684005337431
CalcMORSE-65_1,0.010536649588098418
GetUSRCAT-9_0,0.010519303730378406
GetUSR-9_0,0.010519303730378406
node251,0.010508776398795095
CalcMORSE-45_0,0.010489532759744739
CalcMORSE-112_1,0.01045179087507596
